OMNIARegion,RebaseApplied,ExclusionReason,CountryBasketMethod,CoverageBasis,BasketCountryCount,SharedMappingCountryCount,BasketCountryShare,LowCountryCountCoverageFlag,HistoricalReportedRegional2019_kt,BasketShareOfReportedHistorical2019Production,RecentMappedRegional2025_kt,BasketShareOfMappedRecent2025Production,MinimumProductionCoverage,LowProductionCoverageFlag,SourceEstimateFlag,AnyZeroObservationFlag,ConfidenceFlag,BasketISO3,BasketCountries,ExcludedSharedISO3,AbsentFrom2019_2020SourceISO3,AbsentFrom2021_2025SourceISO3,Unavailable2019ISO3,Unavailable2020ISO3,EstimatedCountrySeries,EstimatedValues2019,EstimatedValues2020,WSA2019_kt,WSAIndex2019,ZeroValueCountries2019,WSA2020_kt,WSAIndex2020,ZeroValueCountries2020,WSA2021_kt,WSAIndex2021,ZeroValueCountries2021,WSA2022_kt,WSAIndex2022,ZeroValueCountries2022,WSA2023_kt,WSAIndex2023,ZeroValueCountries2023,WSA2024_kt,WSAIndex2024,ZeroValueCountries2024,WSA2025_kt,WSAIndex2025,ZeroValueCountries2025,Original2019_kt,Rebased2019_kt,Rebased2020_kt,Original2020_kt,Rebased2021_kt,Original2021_kt,Rebased2022_kt,Original2022_kt,Rebased2023_kt,Original2023_kt,Rebased2024_kt,Original2024_kt,Rebased2025_kt,Original2025_kt,DerivedOMNIA2025_kt,FutureAnchorYear,Post2025ScaleFactor,Original2026_kt,Rebased2026_kt,Original2050_kt,Rebased2050_kt,Rebased2025To2026Change_pct,Original2025To2026Change_pct,HandoffGrowthDifference_pp,Large2025To2026ChangeFlag,LargeAnnualChangeThreshold_pct,HistoricalFormula,FutureFormula,HistoricalSourceCSV_SHA256,HistoricalSourcePDF_SHA256,HistoricalMapCSV_SHA256,RecentSourceXLSX_SHA256,RecentMapCSV_SHA256,SharedMapCSV_SHA256,OriginalProjectionCSV_SHA256,HistoricalSourceDocument,HistoricalSourceTable,HistoricalSourcePages,HistoricalSourceUnit,HistoricalContentsFinalised,HistoricalPublishedWorld2019_kt,HistoricalExtractedCountrySum2019_kt,HistoricalCountrySumDelta2019_kt,HistoricalPublishedWorld2020_kt,HistoricalExtractedCountrySum2020_kt,HistoricalCountrySumDelta2020_kt,RecentSourceSheet,RecentSourceUnit,RecentSourceLastUpdated
IND,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,111351,1,165604,1,1,no,no,no,high_production_coverage,IND,India,,,,,,,,,111351,1,,100256,0.9003601224955321,,118201.36,1.0615204174187929,,125377.231,1.1259641224596098,,140760.73000000001,1.2641173406615118,,149420.89999999999,1.3418909574229239,,165604,1.4872250810500129,,103023.7853777866,103023.7853777866,92758.508022697351,109707.68597746429,109361.85165829216,116825.21971401956,116001.08609536666,124404.51951591148,130234.15359664994,132475.54349882851,138246.68599793187,141070.19337882954,153219.5575585578,150222.44056780447,153219.5575585578,2025,1.019951193572844,159968.46044966261,163160.02216964369,723142.03441534238,737569.58112462307,6.4877256986509924,6.4877256986509702,2.2204460492503131e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
ASO,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,3,6,0.5,no,8434,1,8140,1,1,no,yes,no,qualified_estimated_source,BGD; LKA; PAK,Bangladesh; Pakistan; Sri Lanka,BTN; MDV; NPL,BTN; MDV; NPL,BTN; MDV; NPL,,,Bangladesh; Pakistan; Sri Lanka,,Bangladesh; Sri Lanka,8434,1,,9333,1.1065923642399811,,10967.666000000001,1.3004109556556795,,12043,1.4279108370879772,,10367,1.2291913682712829,,8657,1.026440597581219,,8140,0.96514109556556793,,3350.204961933694,3350.204961933694,3707.3112295147221,3435.1753170224174,4356.6432361905945,3522.3007525691842,4783.7939716110359,3611.6359273049807,4118.0430211485191,3703.2368862556127,3438.7863831467857,3797.1610959019313,3233.4204873298872,3893.4674802318159,3233.4204873298872,2025,0.83047322309659311,3992.2164577065378,3315.4288689308123,7282.4041496840382,6047.8416460801081,2.5362733341448784,2.5362733341448784,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
JPN,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,99284,1,80670.804999999993,1,1,no,no,no,high_production_coverage,JPN,Japan,,,,,,,,,99284,1,,83186,0.83785907094798762,,96336.009000000005,0.97030749164014352,,89226.801000000007,0.89870272148583863,,87000.793000000005,0.87628210990693367,,84008.865999999995,0.84614707304298775,,80670.804999999993,0.81252573425728203,,100759.4576773796,100759.4576773796,84422.225598792356,100011.6767609806,97767.656637959401,99269.445460586081,90552.798830098225,98532.722590018238,88293.710166612582,97801.467268760243,85257.320195113556,97075.638919687859,81869.652332678394,96355.197266817777,81869.652332678394,2025,0.84966514163187923,95640.102333072777,81262.061094517703,79982.933105489239,67958.710185208634,-0.7421446419385469,-0.7421446419385469,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
SKT,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,71412,1,62233.334999999999,1,1,no,no,no,high_production_coverage,KOR,South Korea,,,,,,,,,71412,1,,67079,0.93932392315017088,,70418.035999999993,0.98608127485576647,,65846.167000000001,0.92206025597938723,,66683.279999999999,0.93378255755335238,,63611.485000000001,0.89076744804794716,,62233.334999999999,0.87146887077802049,,68171.604812223275,68171.604812223275,64035.219279660632,67287.105536677176,67222.742982200638,66414.082285065029,62858.32738368422,65552.386160571477,63657.455494074275,64701.870198257682,60725.046447917281,63862.389339996073,59409.431464833688,63033.800409730167,59409.431464833688,2025,0.94250118315352271,62215.962089055531,58638.617879969555,45475.94360627453,42861.13065393662,-1.2974599585596103,-1.2974599585596214,1.1102230246251565e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
ANZ,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,2,2,1,no,6160,1,5784.4830000000002,1,1,no,no,no,high_production_coverage,AUS; NZL,Australia; New Zealand,,,,,,,,,6160,1,,6076,0.98636363636363633,,6425.2700000000004,1.0430633116883117,,6191.2179999999998,1.0050678571428571,,5810.8229999999994,0.94331542207792196,,5223.8549999999996,0.84802840909090904,,5784.4830000000002,0.93903944805194806,,5634.604828003854,5634.604828003854,5557.769307621983,5585.4791685080727,5877.2495719526496,5536.7818141897724,5663.1602003286298,5488.5090308431027,5315.2096315707522,5440.6571168191267,4778.3049681480634,5393.2224027419652,5291.1162076795808,5346.201251227425,5291.1162076795808,2025,0.98969641415290954,5299.5900566040809,5244.9852755014736,4295.0639767409994,4250.8094163379028,-0.87185634122252109,-0.87185634122252109,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
USA,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,87761,1,81937.006999999998,1,1,no,no,no,high_production_coverage,USA,United States,,,,,,,,,87761,1,,72732,0.82875081186403987,,85791.410000000003,0.97755734323902421,,80535.396999999997,0.91766726678137212,,81392.248999999996,0.92743073802714182,,79456.591,0.90537472225703897,,81937.006999999998,0.933638028281355,,85282.851540746196,85282.851540746196,70678.232452473792,83711.550815060749,83368.877776019974,82169.200645389006,78261.281276718088,80655.267629894021,79093.93794549341,79169.228194443669,77212.938026991382,77710.568411539352,79623.3133587138,76278.783822580808,79623.3133587138,2025,1.043846130844353,74873.37926340563,78156.287247347776,47917.662305565798,50018.666396771157,-1.8424580056809137,-1.8424580056809137,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
CAN,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,12897,1,11465.136540867999,1,1,no,no,no,high_production_coverage,CAN,Canada,,,,,,,,,12897,1,,10986,0.85182600604791814,,12976.290000000001,1.0061479413817167,,12097.573,0.93801449949600679,,12168.092000000001,0.94348236023881527,,12286.745000000001,0.95268240676126237,,11465.136540867999,0.88897701332619983,,13878.589274409116,13878.589274409116,11822.143271199391,13763.427840224263,13963.914027729106,13649.221989900372,13018.317971945515,13535.963794215981,13094.204165404619,13423.645389744534,13221.887832395119,13312.258978308442,12337.746842345246,13201.796826437649,12337.746842345246,2025,0.93455057705765676,13092.251264832696,12235.370974533233,10719.270172258181,10017.700125120811,-0.82977766621570304,-0.82977766621570304,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
LAM,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,10,46,0.21739130434782608,yes,8592,1,8280.8430000000008,0.97996749847811371,0.97996749847811371,no,no,no,high_production_coverage,ARG; COL; CUB; ECU; GTM; PER; PRY; SLV; URY; VEN,Argentina; Colombia; Cuba; Ecuador; El Salvador; Guatemala; Paraguay; Peru; Uruguay; Venezuela,ABW; AIA; ATG; BES; BHS; BLZ; BMU; BOL; BRB; CRI; CUW; CYM; DMA; DOM; FLK; GLP; GRD; GUY; HND; HTI; JAM; KNA; LCA; MAF; MSR; MTQ; NIC; PAN; PRI; SPM; SUR; SXM; TCA; TTO; VCT; VGB,ABW; AIA; ATG; BES; BHS; BLZ; BMU; BOL; BRB; CRI; CUW; CYM; DMA; DOM; FLK; GLP; GRD; GUY; HND; HTI; JAM; KNA; LCA; MAF; MSR; MTQ; NIC; PAN; PRI; SPM; SUR; SXM; TCA; VCT; VGB,ABW; AIA; ATG; BES; BHS; BLZ; BMU; BRB; CUW; CYM; DMA; FLK; GLP; GRD; GUY; HTI; KNA; LCA; MAF; MSR; MTQ; PRI; SPM; SUR; SXM; TCA; VCT; VGB,TTO,TTO,,,,8592,1,,6624,0.77094972067039103,,9038.8379999999997,1.0520062849162011,,9491.8860000000004,1.1047353351955307,,8935.9840000000004,1.0400353817504655,,7815.8329999999996,0.90966398975791429,,8114.9569999999994,0.94447823556797017,,9873.6675789186902,9873.6675789186902,7612.1012619596604,10340.709537479766,10387.160348195794,10829.843407614031,10907.789462405983,11342.114175854313,10268.963629717895,11878.616258446653,8981.7198433825415,12440.495839463289,9325.4641335217966,13028.953319512471,9325.4641335217966,2025,0.71574929350278349,13645.24588027664,9766.5750984797724,41371.900542860174,29611.908584419591,4.7301770575936875,4.7301770575936652,2.2204460492503131e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
BRA,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,32569,1,33408.930999999997,1,1,no,no,no,high_production_coverage,BRA,Brazil,,,,,,,,,32569,1,,31415,0.9645675335441678,,36071.067000000003,1.1075276182873286,,34089.495000000003,1.0466853449599314,,32030.174999999999,0.98345589364119257,,33880.195,1.0402589886087998,,33408.930999999997,1.0257892781479321,,31087.25257678199,31087.25257678199,29985.754542651179,32107.328744859387,34429.990805459973,33160.877005271403,32538.571687185573,34248.995688711671,30572.941763748597,35372.819165757486,32338.793924149541,36533.519029458206,31888.970380339641,37732.305316728445,31888.970380339641,2025,0.84513708114732689,38970.427769819122,32935.353576447662,84578.34168724186,71480.292821836862,3.2813326477080018,3.2813326477080018,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
MEX,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,18387,1,13509.126,1,1,no,no,no,high_production_coverage,MEX,Mexico,,,,,,,,,18387,1,,16803,0.91385217816935882,,18453.593000000001,1.003621743623212,,18386.331999999999,0.99996366998422792,,16422.52682368,0.8931596684440094,,14325.227999999999,0.77909544787077822,,13509.126,0.73471071953010281,,17394.854572111897,17394.854572111897,15896.325739663687,17924.570855750215,17457.854275735142,18470.418308521817,17394.222616770938,19032.888164367672,15536.382542259224,19612.4866165155,13552.252013506573,20209.735273027007,12780.18611879783,20825.171626217649,12780.18611879783,2025,0.61368935383506462,21459.349536371392,13169.374350696551,44084.680923542852,27054.299349994009,3.0452469806075966,3.0452469806075966,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
CHL,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,1133,1,511.16899999999998,1,1,no,no,no,high_production_coverage,CHL,Chile,,,,,,,,,1133,1,,1157,1.0211827007943513,,1317.5409999999999,1.1628781994704325,,1150.9580000000001,1.0158499558693734,,1161.777,1.0253989408649604,,824.154,0.72740864960282436,,511.16899999999998,0.45116416593115621,,1768.5653636483582,1768.5653636483582,1806.0283545817745,1790.0495042144669,2056.6261057251736,1811.7946293646637,1796.5970466142871,1833.8039094819069,1813.4850507354802,1856.0805534622657,1286.4697429057803,1878.6278091827687,797.91331718514357,1901.4489639749349,797.91331718514357,2025,0.41963435900857643,1924.54734510406,807.60619154439985,2571.478104759381,1079.0805661952918,1.2147778650255514,1.2147778650255514,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
ENE,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,7,9,0.77777777777777779,no,26880,1,11733.396999999999,1.0000000000000002,1,no,yes,yes,qualified_estimated_source,BIH; BLR; MDA; MKD; MNE; SRB; UKR,Belarus; Bosnia-Herzegovina; Macedonia; Moldova; Montenegro; Serbia; Ukraine,ALB; XKX,XKX,XKX,ALB,ALB,Montenegro,,Montenegro,26880,1,,25978,0.96644345238095242,,27177.627999999997,1.0110724702380951,,11420.078450000001,0.42485410900297621,Montenegro,11359.669,0.42260673363095236,Montenegro,12532.602999999999,0.46624267113095236,,11733.397000000001,0.43651030505952382,Montenegro,43756.717308348772,43756.717308348772,42288.392940337966,43513.438159070007,44241.212258462205,43271.51159627657,18590.221144933625,43030.930099841047,18491.883376094233,42791.686191446526,20401.248757766509,42553.772434354119,19100.25802067067,42317.181433171849,19100.25802067067,2025,0.45135940943595654,42081.905833624682,18994.064165004373,36811.490426753087,16615.21257947664,-0.5559812624068905,-0.5559812624069016,1.1102230246251565e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
ENW,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,3,8,0.375,no,9164,1,4321.4339999999993,1,1,no,yes,no,qualified_estimated_source,CHE; GBR; NOR,Norway; Switzerland; United Kingdom,GIB; ISL; LIE; SHN; SJM,GIB; ISL; LIE; SHN; SJM,GIB; LIE; SHN; SJM,,,,,Switzerland,9164,1,,8885,0.96955477957223923,,9135.1720000000005,0.99685421213443914,,7872.6210000000001,0.85908129637712793,,7506.4200000000001,0.81912047140986466,,5822.0463999999993,0.63531715408118716,,4321.4339999999993,0.47156634657354857,,9282.0207117544323,9282.0207117544323,8999.4275451700269,9093.9462601734995,9252.8214436315102,8909.6826166521423,7974.0103860533491,8729.1525657156071,7603.093181048418,8552.2804564469643,5897.0269827144612,8378.9921707856665,4377.0885958620465,8209.2150924684629,4377.0885958620465,2025,0.53319209529274025,8042.8780765996335,4288.3990138462041,4920.9379877608644,2623.8052364998566,-2.0262231406439124,-2.0262231406439235,1.1102230246251565e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
